cycle number,Ewe/V
1550,2.108520
1551,2.108330
1552,2.108450
1553,2.108330
1554,2.108350
1555,2.108490
1556,2.108580
1557,2.108500
1558,2.108490
1559,2.108410
1560,2.108490
1561,2.108330
1562,2.108430
1563,2.108390
1564,2.108350
1565,2.108350
1566,2.108280
1567,2.108310
1568,2.108350
1569,2.108430
1570,2.108290
1571,2.108220
1572,2.108350
1573,2.108280
1574,2.108350
1575,2.108260
1576,2.108370
1577,2.108260
1578,2.108390
1579,2.108370
1580,2.108290
1581,2.108220
1582,2.108390
1583,2.108260
1584,2.108240
1585,2.108220
1586,2.108260
1587,2.108260
1588,2.108220
1589,2.108200
1590,2.108180
1591,2.108200
1592,2.108240
1593,2.108260
1594,2.108140
1595,2.108120
1596,2.108200
1597,2.108240
1598,2.108260
1599,2.108160
1600,2.108140
1601,2.108200
1602,2.108200
1603,2.108120
1604,2.108080
1605,2.108160
1606,2.108080
1607,2.108160
1608,2.108140
1609,2.108100
1610,2.108120
1611,2.108010
1612,2.108160
1613,2.108080
1614,2.108180
1615,2.108010
1616,2.107990
1617,2.108220
1618,2.108010
1619,2.108070
1620,2.108050
1621,2.108030
1622,2.108180
1623,2.108080
1624,2.107910
1625,2.107910
1626,2.108080
1627,2.107930
1628,2.108010
1629,2.108030
1630,2.108100
1631,2.108140
1632,2.108030
1633,2.107990
1634,2.108080
1635,2.108050
1636,2.107990
1637,2.108010
1638,2.107890
1639,2.108180
1640,2.107970
1641,2.108030
1642,2.107970
1643,2.108010
1644,2.107930
1645,2.108010
1646,2.108030
1647,2.107950
1648,2.107870
1649,2.107870
1650,2.108070
1651,2.108080
1652,2.107990
1653,2.107970
1654,2.107950
1655,2.107780
1656,2.107950
1657,2.107970
1658,2.108030
1659,2.107970
1660,2.107910
1661,2.107990
1662,2.107970
1663,2.107870
1664,2.107950
1665,2.107930
1666,2.107910
1667,2.107950
1668,2.108030
1669,2.107910
1670,2.107910
1671,2.107970
1672,2.107870
1673,2.107990
1674,2.107950
1675,2.107910
1676,2.107840
1677,2.107930
1678,2.107860
1679,2.107860
1680,2.107780
1681,2.107890
1682,2.107860
1683,2.107840
1684,2.107800
1685,2.107990
1686,2.107890
1687,2.107890
1688,2.107860
1689,2.107910
1690,2.107800
1691,2.107820
1692,2.107870
1693,2.107860
1694,2.107840
1695,2.107910
1696,2.107800
1697,2.107890
1698,2.107800
1699,2.107760
1700,2.107870
1701,2.107740
1702,2.107890
1703,2.107910
1704,2.107680
1705,2.107760
1706,2.107870
1707,2.107780
1708,2.107890
1709,2.107840
1710,2.107800
1711,2.107910
1712,2.107760
1713,2.107800
1714,2.107800
1715,2.107780
1716,2.107800
1717,2.107930
1718,2.107820
1719,2.107860
1720,2.107720
1721,2.107780
1722,2.107800
1723,2.107820
1724,2.107840
1725,2.107780
1726,2.107780
1727,2.107890
1728,2.107800
1729,2.107780
1730,2.107760
1731,2.107860
1732,2.107720
1733,2.107740
1734,2.107800
1735,2.107650
1736,2.107840
1737,2.107910
1738,2.107780
1739,2.107870
1740,2.107740
1741,2.107840
1742,2.107840
1743,2.107740
1744,2.107680
1745,2.107740
1746,2.107780
1747,2.107820
1748,2.107870
1749,2.107870
1750,2.107860
1751,2.107680
1752,2.107800
1753,2.107930
1754,2.107820
1755,2.107740
1756,2.107700
1757,2.107840
1758,2.107740
1759,2.107840
1760,2.107860
1761,2.107930
1762,2.107760
1763,2.107860
1764,2.107930
1765,2.107890
1766,2.107840
1767,2.107780
1768,2.107930
1769,2.107820
1770,2.107870
1771,2.107870
1772,2.107970
1773,2.107990
1774,2.108080
1775,2.107910
1776,2.107990
1777,2.108010
1778,2.107990
1779,2.107970
1780,2.108030
1781,2.108180
1782,2.108120
1783,2.108280
1784,2.108200
1785,2.108350
1786,2.108470
1787,2.108200
1788,2.108410
1789,2.108410
1790,2.108430
1791,2.108470
1792,2.108490
1793,2.108620
1794,2.108680
1795,2.108620
1796,2.108810
1797,2.108830
1798,2.108770
1799,2.108790
1800,2.108910
1801,2.108960
1802,2.109060
1803,2.109000
1804,2.109150
1805,2.109080
1806,2.109100
1807,2.109380
1808,2.109170
1809,2.109150
1810,2.109400
1811,2.109250
1812,2.109340
1813,2.109440
1814,2.109500
1815,2.109610
1816,2.109630
1817,2.109520
1818,2.109550
1819,2.109690
1820,2.109610
1821,2.109770
1822,2.109710
1823,2.109800
1824,2.109860
1825,2.109770
1826,2.109840
1827,2.109990
1828,2.110010
1829,2.110130
1830,2.109920
1831,2.110130
1832,2.110030
1833,2.110200
1834,2.110150
1835,2.110300
1836,2.110240
1837,2.110240
1838,2.110240
1839,2.110320
1840,2.110430
1841,2.110490
1842,2.110490
1843,2.110380
1844,2.110590
1845,2.110470
1846,2.110530
1847,2.110570
1848,2.110780
1849,2.110680
1850,2.110720
1851,2.110550
1852,2.110740
1853,2.110830
1854,2.110780
1855,2.110800
1856,2.110870
1857,2.110850
1858,2.110910
1859,2.110970
1860,2.110970
1861,2.110910
1862,2.111080
1863,2.111060
1864,2.111160
1865,2.111100
