        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   1.964213,   0.002299,   3.331677
   1.964057,   0.002302,    3.33632
   1.963902,   0.002305,   3.340964
   1.963591,   0.002308,   3.345608
   1.963436,   0.002312,   3.350252
    1.96328,   0.002315,   3.354896
    1.96328,   0.002318,    3.35954
    1.96297,   0.002321,   3.364183
   1.962814,   0.002324,   3.368826
   1.962503,   0.002328,    3.37347
   1.962348,   0.002331,   3.378113
   1.962192,   0.002334,   3.382757
   1.962037,   0.002337,   3.387401
   1.961882,   0.002341,   3.392045
   1.961882,   0.002344,   3.396689
   1.961571,   0.002347,   3.401332
   1.961415,    0.00235,   3.405974
    1.96126,   0.002353,   3.410617
   1.961105,   0.002357,    3.41526
   1.960949,    0.00236,   3.419904
   1.960794,   0.002363,   3.424547
   1.960483,   0.002366,    3.42919
   1.960328,   0.002369,   3.433833
   1.960328,   0.002373,   3.438477
   1.960017,   0.002376,   3.443121
   1.959861,   0.002379,   3.447764
   1.959706,   0.002382,   3.452407
   1.959706,   0.002385,    3.45705
   1.959395,   0.002389,   3.461693
    1.95924,   0.002392,   3.466337
   1.959084,   0.002395,   3.470981
   1.958929,   0.002398,   3.475625
   1.958773,   0.002401,   3.480268
   1.958773,   0.002405,   3.484912
   1.958463,   0.002408,   3.489556
   1.958307,   0.002411,   3.494199
   1.958152,   0.002414,   3.498842
   1.957996,   0.002417,   3.503484
   1.957841,   0.002421,   3.508128
    1.95753,   0.002424,   3.512771
    1.95753,   0.002427,   3.517415
   1.957219,    0.00243,   3.522058
   1.957064,   0.002433,   3.526702
   1.956908,   0.002437,   3.531345
