        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.399934,   0.001513,    2.40229
   2.399467,   0.001516,   2.406977
   2.398534,   0.001519,   2.411665
   2.398067,   0.001522,   2.416353
    2.39729,   0.001525,    2.42104
   2.396667,   0.001528,   2.425727
   2.396201,   0.001531,   2.430414
   2.395423,   0.001534,   2.435102
   2.394801,   0.001537,    2.43979
   2.394178,    0.00154,   2.444477
   2.393245,   0.001543,   2.449164
   2.392778,   0.001546,   2.453851
   2.392001,   0.001549,   2.458539
   2.391534,   0.001552,   2.463227
   2.390756,   0.001555,   2.467914
    2.39029,   0.001558,   2.472601
   2.389823,   0.001561,   2.477288
   2.389045,   0.001564,   2.481975
   2.388578,   0.001567,   2.486662
   2.387801,    0.00157,    2.49135
   2.387023,   0.001573,   2.496037
   2.386556,   0.001575,   2.500724
   2.385778,   0.001578,   2.505411
   2.385156,   0.001581,   2.510098
   2.384534,   0.001584,   2.514785
   2.384068,   0.001587,   2.519472
   2.383445,    0.00159,   2.524159
   2.382823,   0.001593,   2.528846
   2.382045,   0.001596,   2.533533
   2.381578,   0.001599,   2.538221
   2.380956,   0.001602,   2.542909
   2.380334,   0.001605,   2.547596
   2.379712,   0.001608,   2.552283
    2.37909,   0.001611,    2.55697
   2.378467,   0.001614,   2.561657
   2.378001,   0.001617,   2.566344
   2.377534,    0.00162,   2.571032
   2.376756,   0.001623,    2.57572
   2.375978,   0.001626,   2.580407
   2.375667,   0.001629,   2.585095
    2.37489,   0.001632,   2.589783
   2.374423,   0.001635,    2.59447
   2.373645,   0.001637,   2.599157
   2.373334,    0.00164,   2.603844
   2.372712,   0.001643,   2.608532
    2.37209,   0.001646,   2.613219
   2.371623,   0.001649,   2.617906
   2.371001,   0.001652,   2.622593
   2.370378,   0.001655,   2.627281
   2.369912,   0.001658,   2.631969
   2.369134,   0.001661,   2.636656
   2.368667,   0.001664,   2.641343
   2.368045,   0.001667,    2.64603
   2.367579,    0.00167,   2.650718
   2.367112,   0.001673,   2.655406
    2.36649,   0.001676,   2.660093
   2.366023,   0.001679,   2.664781
   2.365401,   0.001682,   2.669469
   2.364623,   0.001685,   2.674156
   2.364312,   0.001688,   2.678843
    2.36369,   0.001691,    2.68353
   2.363223,   0.001694,   2.688217
   2.362445,   0.001697,   2.692904
   2.361979,   0.001699,   2.697591
   2.361667,   0.001702,   2.702278
   2.361045,   0.001705,   2.706966
   2.360579,   0.001708,   2.711654
   2.359957,   0.001711,   2.716341
   2.359334,   0.001714,   2.721029
   2.358867,   0.001717,   2.725717
   2.358245,    0.00172,   2.730404
   2.357779,   0.001723,   2.735091
   2.357157,   0.001726,   2.739778
   2.356845,   0.001729,   2.744465
   2.356223,   0.001732,   2.749152
   2.355601,   0.001735,    2.75384
    2.35529,   0.001738,   2.758527
   2.354667,   0.001741,   2.763214
    2.35389,   0.001744,   2.767901
   2.353579,   0.001747,   2.772589
   2.352957,    0.00175,   2.777277
    2.35249,   0.001753,   2.781964
   2.351867,   0.001756,   2.786651
   2.351557,   0.001759,   2.791338
   2.351245,   0.001761,   2.796025
   2.350623,   0.001764,   2.800712
   2.350157,   0.001767,   2.805398
    2.34969,    0.00177,   2.810084
   2.348912,   0.001773,   2.814771
   2.348601,   0.001776,   2.819459
   2.347979,   0.001779,   2.824146
   2.347667,   0.001782,   2.828834
   2.347045,   0.001785,   2.833522
   2.346579,   0.001788,   2.838209
   2.346267,   0.001791,   2.842897
   2.345645,   0.001794,   2.847585
   2.345179,   0.001797,   2.852272
   2.344556,     0.0018,   2.856959
    2.34409,   0.001803,   2.861646
   2.343623,   0.001806,   2.866333
   2.343156,   0.001809,    2.87102
   2.342534,   0.001812,   2.875708
   2.342067,   0.001815,   2.880396
   2.341756,   0.001818,   2.885083
    2.34129,   0.001821,   2.889771
   2.340823,   0.001824,   2.894459
   2.340201,   0.001826,   2.899146
    2.33989,   0.001829,   2.903833
   2.339267,   0.001832,    2.90852
   2.338956,   0.001835,   2.913207
   2.338334,   0.001838,   2.917893
   2.338023,   0.001841,    2.92258
   2.337556,   0.001844,   2.927268
    2.33709,   0.001847,   2.931956
   2.336623,    0.00185,   2.936643
   2.336156,   0.001853,   2.941331
   2.335534,   0.001856,   2.946018
   2.335223,   0.001859,   2.950705
   2.334601,   0.001862,   2.955393
    2.33429,   0.001865,    2.96008
   2.333668,   0.001868,   2.964768
   2.333356,   0.001871,   2.969456
   2.332734,   0.001874,   2.974143
   2.332423,   0.001877,   2.978831
   2.332112,    0.00188,   2.983518
   2.331645,   0.001883,   2.988205
   2.331179,   0.001886,   2.992893
   2.330712,   0.001888,    2.99758
   2.330245,   0.001891,   3.002268
   2.329779,   0.001894,   3.006955
   2.329312,   0.001897,   3.011642
   2.329001,     0.0019,    3.01633
    2.32869,   0.001903,   3.021017
   2.328068,   0.001906,   3.025705
   2.327756,   0.001909,   3.030393
    2.32729,   0.001912,    3.03508
   2.326668,   0.001915,   3.039767
   2.326356,   0.001918,   3.044454
    2.32589,   0.001921,   3.049142
   2.325423,   0.001924,   3.053829
   2.324956,   0.001927,   3.058517
   2.324646,    0.00193,   3.063205
   2.324334,   0.001933,   3.067892
   2.323712,   0.001936,    3.07258
   2.323401,   0.001939,   3.077268
   2.322934,   0.001942,   3.081955
   2.322312,   0.001945,   3.086643
   2.322156,   0.001948,    3.09133
   2.321534,    0.00195,   3.096017
   2.321223,   0.001953,   3.100705
   2.320756,   0.001956,   3.105392
   2.320446,   0.001959,    3.11008
   2.320134,   0.001962,   3.114768
   2.319668,   0.001965,   3.119455
